Area,Bedrooms,Age,Price
3482,6,29,18440476
3111,4,14,16363716
2177,3,7,12149367
4989,8,11,27173645
2372,4,30,12204330
4897,8,18,26389809
2190,3,14,11606411
2069,3,0,11761211
4975,6,17,26327726
1046,2,18,5670495
1634,3,31,7934370
700,2,18,3632198
4521,6,21,23992519
1020,1,30,4343629
1135,1,31,4869680
1039,1,9,5542980
3089,3,15,15997005
4009,7,38,21495258
2448,4,24,12961998
4226,6,37,22234860
3101,5,39,15718356
1412,1,40,6183675
2767,5,5,15103086
2564,2,35,12401511
1882,1,26,9298787
4449,6,2,24237520
2960,5,18,16289135
4319,5,14,23016205
2220,3,7,12165015
2441,4,9,13181735
1765,1,3,9081982
3119,5,36,16141430
4197,5,29,22376531
3091,5,25,16308670
4699,8,31,25323823
1258,2,2,6974614
3240,5,16,17095121
1348,1,36,6365243
769,2,17,4133038
929,1,30,4294973
4222,6,11,23158162
4170,7,31,21989674
4450,6,26,23629499
3230,5,6,17484637
3301,5,31,17237418
3880,6,2,21512919
1321,2,16,6768177
1549,2,32,7136006
4384,6,3,23823494
4847,7,39,25967588
4683,8,28,25668507
1022,1,17,5200298
1673,2,28,8631768
4570,6,1,25314626
2560,4,10,13817845
712,2,26,3060136
2440,2,29,11981172
1861,2,18,9710790
2839,4,30,14837958
2596,3,35,12860868
3742,4,38,19331329
1718,1,17,8678698
3384,6,17,18009489
2917,5,19,15913848
4611,6,28,24621942
4567,7,21,24837127
3690,5,20,19485816
2556,4,24,13296107
3965,5,20,21498879
4474,7,24,24089632
1846,2,2,9711578
4714,8,21,25348039
4206,5,33,22060323
725,2,9,3969893
1864,1,30,8890696
3373,6,25,18391003
1257,1,34,5734868
3194,5,31,16946096
894,2,4,4814974
2954,3,5,15925852
1406,3,6,7856430
1962,4,19,10142753
976,1,3,5112818
3536,5,27,18429840
2600,5,26,14033418
2075,2,11,10582804
3733,6,15,20403441
1772,1,29,8833291
2680,4,16,14635233
676,1,18,3505726
1894,1,28,9191151
3050,5,27,16473846
2648,4,19,13888494
3751,5,6,20273928
3724,6,22,20227533
3023,5,18,15902605
3842,5,0,21271819
1001,2,31,4615296
2485,4,22,12971642
2157,4,16,11927087
1720,3,6,9681937
922,1,28,3809385
3588,6,8,19432111
3017,4,26,15572571
2244,2,34,11072429
4948,8,17,26752137
2705,4,18,14788824
3374,4,29,17233757
1753,1,25,8769984
3596,4,25,18443794
2766,5,7,15350077
3619,6,16,19871755
3721,6,23,19692809
2515,3,1,13957641
3287,6,14,18271512
1117,2,29,5713532
3075,5,26,16032343
1745,1,2,9153149
4635,6,6,25088205
1711,2,29,8456233
4033,7,9,22276637
1411,2,39,6635140
2891,3,23,14831023
4232,6,15,22856703
1413,3,23,7488513
3538,4,25,18416882
2154,2,29,10466926
2337,4,40,12058552
774,1,21,3470200
1631,3,13,8423142
2297,4,13,12278716
3291,4,38,16456173
2871,3,8,15515656
2653,3,7,14538769
811,1,0,4412844
2549,4,20,13151347
2027,3,3,10843315
4048,7,7,22761486
1120,1,28,5183625
4804,8,6,26634762
4727,6,39,24375871
4871,7,29,26273791
855,1,30,3787126
4092,7,6,22752484
4233,5,5,22899358
1815,1,8,9306375
3263,5,38,17083929
3015,4,32,15832836
4124,5,7,22621316
2361,3,28,11936792
3989,6,29,21210898
4007,7,6,22124130
4096,6,16,22131683
1850,3,30,9050394
1347,1,5,7127255
1391,3,23,6939635
1091,2,35,5252167
3300,6,7,18300764
3496,6,27,19045286
1021,1,38,4316826
3480,4,36,18028060
2342,2,30,11553537
1486,2,35,7102615
1541,2,36,7210344
4115,7,39,22011378
815,2,17,3798359
2077,3,19,10846731
3475,4,11,18370210
3883,4,9,21178562
851,1,33,3480783
3681,5,29,19328655
1889,2,19,10049448
3257,6,38,16805483
1030,1,10,5667083
1007,2,5,5411720
4229,7,27,22830053
4221,6,17,22585240
4797,6,22,25655197
1508,2,37,7281871
4916,8,19,26400823
2406,3,38,11688643
662,1,19,2913894
1724,2,18,8808861
1582,1,31,7899701
4127,5,8,22319076
4962,8,14,27266963
3501,4,25,18713286
946,1,1,5191287
1237,1,36,5622537
3913,7,40,20725583
2971,3,25,14981069
3260,4,39,16744446
3564,4,27,18313805
2593,3,37,13053502
4892,6,25,25933746
3381,4,21,17607499
1225,2,40,5329565
4946,8,12,27085546
3476,6,9,18972945
1442,1,16,7045254
2021,4,9,11516343
1217,1,40,5466519
4400,7,37,23380711
3247,5,20,17142690
4202,5,30,22114088
3080,4,37,15444900
3483,6,4,19237086
4382,6,2,23706053
3620,5,4,20079981
1339,3,38,6614499
3749,5,37,19666042
936,1,36,4290701
2142,3,38,10757133
4707,6,3,25778807
1447,2,5,7943457
2013,2,15,10799595
4186,6,33,22245341
1900,2,23,9526635
3773,5,21,20401475
1028,2,21,4824713
3300,4,35,17301332
3766,5,16,20562089
1831,2,5,10022246
1758,2,19,9299523
3810,4,38,19895266
1294,1,35,5893776
3290,4,33,16695992
4068,7,23,21622716
3570,5,11,19158597
3399,5,12,18252347
1726,1,4,8985360
1428,3,34,7440124
4913,6,21,26485652
1673,3,24,8401345
1929,1,39,8854380
4185,5,26,22063995
2545,3,39,12622768
4277,5,34,22171186
3135,4,12,16807709
4209,6,18,22667222
4719,8,26,25288730
2235,4,8,12124147
1027,2,30,4869644
1440,3,33,6888734
2935,3,10,15508042
4280,7,9,23584723
1351,1,28,6371766
818,1,3,4399312
4712,7,15,25597324
1268,1,14,6023156
3210,3,21,16475143
1727,1,18,8755804
1736,3,30,8857592
643,1,1,3401955
2366,2,35,12055760
4923,7,7,26831696
2546,3,7,13339268
2553,3,40,12988664
4344,5,7,23602908
4991,6,40,26213610
2581,4,9,13936620
4116,5,39,21303154
2570,4,26,13260412
1301,3,23,6406166
4909,8,32,26459080
766,1,30,2948849
3769,5,16,20602418
733,1,4,3873151
2575,4,40,12778699
3323,4,2,18069012
3373,6,11,18847541
4406,7,30,23813623
2093,2,4,11554427
4349,5,18,22986183
958,1,2,5072526
3140,5,25,16847408
4478,6,2,24935482
2165,3,22,10908126
3319,5,7,18134696
4179,6,28,22216226
3377,4,31,17836086
4675,7,33,24739676
1276,2,27,5947960
4127,7,11,22842371
3006,4,6,16015158
3286,6,18,17788584
4252,7,27,22615139
4236,6,28,22151612
3488,6,27,18535492
1069,1,40,4604742
3576,6,10,19247853
1769,3,28,8655289
1634,1,15,8543302
3600,5,24,19294799
865,2,9,4980048
4285,6,23,22977504
1229,2,8,6745978
3606,5,20,19532313
2883,3,7,15068772
2124,3,33,10720585
1564,2,16,8431037
4255,5,39,21955449
4623,6,7,24891921
1206,1,11,6509222
4246,5,20,22879480
3446,6,4,19295913
2978,4,10,16411985
2026,3,32,10070334
1594,1,8,8117035
4647,6,23,24975333
3622,5,35,18620474
1306,1,19,6458700
4521,7,26,24298522
1204,1,20,6154340
1207,1,29,5939545
4838,7,8,26635683
2090,2,27,10625290
1053,1,33,4466048
3091,3,10,16371534
2447,3,33,12292246
1246,1,12,6605105
2848,3,40,14187134
4970,6,32,26476124
1981,4,37,9832884
2002,4,39,10476038
3365,6,2,18387751
1265,1,36,5595511
2326,4,26,12443333
848,1,40,3601679
2972,5,19,16090804
2606,5,25,13813082
4315,5,3,23213759
4201,6,30,22352202
2271,3,38,11079847
3160,5,20,17301864
3429,5,8,19088415
3635,6,35,18883341
3214,3,29,16231273
2791,4,15,14690920
1393,1,18,6926410
4025,5,10,21673341
3161,3,10,16919669
4816,7,31,25576728
4674,6,5,25487144
4740,7,15,25563595
3490,4,3,18833023
4654,8,30,24960428
4996,6,6,27171060
1697,2,23,8597242
3597,4,25,18488042
2194,3,35,10921420
1202,1,32,5582630
2891,5,39,14687782
1654,1,25,8062126
3377,6,23,18582038
1781,1,38,8475053
3888,6,2,21125104
918,1,21,4460356
4854,7,9,26746510
4823,6,20,26042448
3209,3,25,16843247
3051,5,21,16467158
4775,8,31,26003167
3055,4,1,16722251
3313,6,7,18374374
3120,5,40,15751941
4487,6,37,23748093
2464,4,3,13814668
4535,5,33,23951580
3714,4,15,19375904
1500,1,1,8052462
3169,4,9,17121820
2270,3,32,11745181
4463,7,3,24997658
1731,3,13,9459332
3262,6,30,17533402
3686,5,11,20019192
4967,7,34,26319896
2765,5,30,14379603
2619,4,35,13361799
2442,3,18,13157542
2298,4,31,11832041
4530,6,35,24182719
2840,4,7,15639334
3710,5,22,19485591
2979,3,18,15959631
1247,1,28,6152236
2700,5,30,14064381
2255,4,17,12285318
2825,3,6,15415584
2560,2,3,13964371
4950,6,40,25704146
1030,1,26,4742337
4469,5,8,23704233
1893,2,30,9484241
2233,3,20,11570879
1084,1,36,4620300
4983,8,2,27395168
4023,5,2,21975878
4658,6,18,24640886
675,1,36,2882063
1479,2,18,7667219
4895,7,8,26882705
4434,6,12,23734918
3308,4,29,17491376
2707,5,11,14461168
3361,5,36,17804360
2182,2,39,10886152
3921,6,32,20693056
1310,2,6,6865757
1751,2,20,8805296
655,1,24,2752961
4259,6,21,22753413
693,1,23,3460020
2535,2,7,13500002
3113,3,25,16417000
4716,8,19,26037021
1561,3,18,8222597
2409,2,8,12828210
1854,2,38,8932574
4006,7,35,21414899
2389,2,38,11408647
4904,7,33,26388752
3563,4,36,18045259
1105,2,32,5037976
4996,6,10,26943256
4862,7,7,26925741
2282,4,37,11748973
1344,3,28,6467138
4314,5,32,22608404
4342,7,3,24214341
4387,7,19,24140814
778,1,16,3388761
2385,4,4,12809489
4070,6,4,22531451
1093,1,30,4636876
2951,4,11,15637207
4043,6,24,21693925
3692,5,5,20464294
1689,3,22,8507195
2062,4,25,11006931
1643,3,14,8387242
786,1,29,3743415
4074,7,24,21845620
2627,4,22,13643056
2858,3,7,14945382
4034,7,1,22339156
2288,2,6,12380395
875,1,38,3934667
998,1,2,5371405
4195,5,34,21721823
1062,1,32,4685714
2518,4,36,12827994
3226,3,19,16615419
4870,6,26,25779098
2854,3,35,14671207
2034,4,27,10829651
4660,6,22,25166565
3722,6,20,20404532
4010,6,9,21816455
3683,4,34,19108120
2574,2,19,13596748
1782,2,3,9806104
3980,6,35,21121736
1698,2,15,8686982
2265,3,5,12359635
3639,4,34,19142582
2160,2,17,11157489
923,1,12,5058296
2377,3,13,12579538
3083,3,13,16100854
1561,3,30,7731577
2275,3,15,12218897
3234,4,24,17065699
4971,8,22,26872604
2742,4,32,14299833
4417,5,30,23567025
3223,3,23,16657722
3990,5,36,20600022
1795,1,16,9254189
4020,6,9,21759721
3302,4,24,17527867
2613,4,35,13704006
3365,5,31,18026705
4618,7,10,25621967
3485,4,8,19117303
4600,6,34,24492985
1081,2,2,5679141
997,1,26,4368570
2495,2,9,12753585
2391,4,29,12434529
1095,2,40,5233143
4558,8,31,24148095
654,2,35,2822119
697,1,33,3211673
2850,5,18,14997975
4714,8,27,25250774
1476,1,33,6661330
2574,2,39,12806829
2667,4,17,14254576
1247,1,25,6035694
2592,4,14,13852946
1260,2,2,6630042
3920,6,24,21163549
4499,5,40,22904709
2003,2,31,9980587
3313,6,6,18521415
948,1,13,5085516
4495,6,2,24311959
2896,5,36,15369277
869,1,20,3755218
2297,4,9,12943195
3862,4,19,20162741
2569,4,24,13828722
3317,5,8,18431194
1242,2,22,5894704
1400,2,14,6979710
3390,6,39,18002540
3849,5,1,21349726
2839,4,31,14552020
3514,6,24,18925625
2121,4,37,11091964
3713,4,39,18927327
2618,5,4,14279623
2795,3,24,14820247
1863,3,24,9559661
3554,4,5,18816247
3125,4,23,16838329
2809,3,8,14718337
2135,3,28,11106041
4797,7,6,25931937
1334,2,35,6024384
3257,5,0,17942424
3989,6,5,22272853
2588,4,33,13125420
3718,4,8,19855581
3066,4,31,15646223
1118,1,27,5112966
4049,6,30,21155457
3558,5,15,19507517
4661,8,39,24632247
4350,5,8,23399457
655,1,21,3246318
3712,5,28,19513396
4127,7,38,21603136
3061,4,38,15986266
2245,3,20,11520266
3862,5,18,21012971
4622,8,15,25286116
3680,5,25,19468746
1532,3,12,8487395
2073,4,35,10237823
4381,7,13,23990953
2986,5,4,16536216
4690,6,40,24425543
2582,3,9,14166379
4066,6,4,22414080
4525,7,25,24480324
4750,8,26,25850053
901,1,34,4107865
1296,1,15,6798745
3508,4,39,17598048
3873,5,27,20140690
686,1,16,3139985
4783,8,33,25826698
2410,3,23,12512133
4393,7,37,23597575
4699,6,22,24720555
4554,6,18,24496981
1303,1,9,6690849
3155,4,29,16232916
4868,7,22,26292892
1399,2,28,6809200
1150,1,2,6485305
1542,1,21,7887845
1495,3,10,8510459
2598,4,11,14238319
1911,2,35,9374280
4385,5,25,23412351
2111,2,40,10506437
4140,6,1,23191207
2216,3,37,11123618
3785,4,13,19987780
2880,5,4,16161393
1433,3,11,7765161
3270,4,29,16733490
2749,5,31,14618149
3167,5,24,17089403
3815,6,7,20912825
3483,5,39,17822508
3036,5,37,15466068
1697,2,7,8904561
3101,3,11,16446639
1758,3,24,9120155
1729,3,24,8974388
2121,3,40,10652683
2019,4,10,11192226
2966,3,11,15683061
4294,7,3,23755279
678,1,8,3310207
3745,6,32,20118793
4654,7,31,24846620
4236,6,10,22733886
852,1,18,3744683
2851,3,34,14367892
1977,3,36,10238986
4657,8,32,24735110
1535,2,34,7386682
940,2,28,4660892
2390,3,6,13279740
2627,4,2,14551978
2752,4,5,15100798
1561,1,13,8320643
3472,6,39,18467908
4107,5,39,21032398
2292,2,3,12466166
3473,6,17,19095450
1979,3,18,10314187
2790,5,6,15170175
3971,5,17,21526957
1639,3,8,8804605
1798,3,20,9269179
3817,5,9,20883874
2801,5,26,14878596
4302,5,40,21968016
3900,7,17,21638449
3623,5,31,18952787
620,1,5,3660437
4355,7,22,23192407
4978,7,13,27086113
2335,3,17,12230548
2923,4,35,15235607
1669,3,31,8369237
996,1,6,5475796
4364,5,7,23348457
4215,6,0,23286580
2257,4,8,12657971
3072,3,17,15822274
3552,5,5,19410306
1955,2,25,10111993
3102,5,14,16860481
1347,3,6,7085539
2348,3,4,12488745
2452,4,28,12400138
666,2,21,2999651
4059,7,8,22507705
1180,1,24,5329670
1439,1,20,7088216
3051,3,24,16194943
1690,3,9,8849734
4945,8,0,27713966
1944,2,22,10246324
2345,4,9,12835709
4224,5,5,22620145
1746,1,37,8554670
3745,5,27,19693780
1745,1,17,9059933
1290,1,35,6108193
2934,5,1,16617188
3071,3,33,15875608
4774,6,25,25304698
1047,1,31,4739030
1523,1,31,7478677
1181,2,0,6559838
3192,3,24,16734390
4047,6,34,21660516
2015,3,4,10635500
1153,1,16,5561822
926,1,25,4416419
2946,5,32,15494812
4069,7,25,21635231
4995,8,39,26324097
2873,3,19,14712460
4788,6,9,26110045
3276,5,37,17290305
1141,1,27,5708616
2554,2,15,12961200
4159,5,29,22098839
1050,1,11,5075245
703,2,8,4191175
692,1,31,2851946
4884,8,16,26451873
3646,4,17,19697738
1567,1,21,7788579
2828,5,4,15561322
1231,1,29,5886793
3550,4,31,18604423
1967,3,10,10455908
1442,3,7,7787899
4768,6,2,25666484
2603,3,30,13277257
3737,4,11,19619481
4035,5,20,21342322
4009,7,20,21671234
1238,2,23,5912800
4712,8,3,25960456
2428,4,2,13466000
1164,1,18,5658590
3281,4,35,16970133
665,1,12,3223759
3089,5,39,15847167
4400,6,37,23207326
2200,4,34,11697423
2608,3,0,14251554
795,1,34,3297251
678,1,0,4141394
3682,6,19,19605398
2280,4,15,12326208
4630,6,9,25472221
2892,3,2,15481116
4857,7,23,26187128
1295,2,6,7123979
1693,3,25,8392065
1110,1,8,5600273
2989,4,20,15834840
3272,5,28,17159566
2513,2,12,12890323
1492,1,6,7570759
4282,6,20,23012659
1589,3,22,8080522
4302,6,29,22698280
1582,1,10,8465780
3092,5,38,15680688
2361,3,9,12362843
2633,4,25,13960001
1001,2,19,4948004
2024,2,25,10288967
2646,3,29,13256057
1745,1,0,8958664
2420,2,12,12684040
3649,6,40,19370801
1288,2,37,5898993
1214,1,4,6220156
4232,5,5,22904055
1603,1,29,7338697
1976,4,27,10704820
3835,5,1,21013320
4095,5,22,21559146
2133,3,17,11309276
1817,1,39,8747653
2613,5,18,14270725
3975,7,30,20973941
1318,2,24,6317502
4034,5,33,20948050
759,1,22,3609785
4570,7,36,24350797
3234,4,17,16975350
813,1,38,3137259
840,1,3,4592596
4937,7,37,25946468
1907,1,15,9975172
2575,3,34,13402863
1058,1,36,4648890
3506,4,11,18629241
3205,5,22,17326298
831,2,22,4296425
1764,3,12,9588937
3131,3,31,15651007
1339,1,14,6993689
2392,2,33,11989607
605,1,39,2007250
1668,2,11,8722907
1087,1,9,5817504
1760,1,33,8364614
1194,1,25,5893283
1427,2,19,7228673
1717,1,27,8608718
4591,8,20,24815864
3523,4,37,17873469
3699,5,18,19528334
2055,4,0,11902109
3807,6,2,20847326
3206,5,14,17621918
1452,2,9,7667655
1237,1,22,5927439
1975,4,5,11343404
3350,5,0,18398095
2317,2,4,12335906
2702,3,0,14360886
3761,5,26,19651618
3991,6,24,21321492
3674,4,30,19290935
2447,2,28,12001689
873,1,1,4663798
2739,3,4,14741211
1993,3,10,11091141
1214,2,5,6557166
4554,8,1,25463075
1951,4,27,9979935
1038,1,21,4803135
2156,3,35,11178311
2773,5,18,14891447
2545,2,3,13595987
4621,6,3,25237556
631,1,5,3260057
4534,5,6,24123785
2295,2,40,11079986
1271,1,7,6542531
3856,5,31,20514350
2770,3,34,14050351
2114,3,24,10920145
2128,3,2,11541685
4202,6,16,22527632
2800,5,3,15328471
1392,1,22,6966150
3991,7,14,22053693
1099,1,33,4983767
4986,8,30,26987734
2530,3,19,12928790
3834,6,2,21323291
4833,8,39,25476210
1585,2,11,8127284
2335,2,8,11986748
4068,5,27,21255327
1811,3,16,9532481
1148,1,24,5652990
3855,6,20,20655617
4857,7,0,27130835
4880,7,7,26740574
1825,1,36,8846493
1420,1,36,6229896
2943,5,22,15774449
2763,4,31,14517409
4475,5,11,23928792
3901,5,39,20453421
3890,4,25,20305596
2546,2,30,12660831
3651,4,21,19152976
3147,4,31,16644400
1404,1,8,7195876
4229,6,17,23165001
4014,7,5,22059864
4218,5,26,22630536
4568,8,23,24482536
4821,6,4,26195436
4751,7,8,26154953
837,1,12,4022877
1072,1,2,5813021
1014,1,12,5020086
3617,5,32,18964624
1614,3,1,8876490
3651,5,38,19012973
2054,3,37,10408915
3465,5,10,18689224
1340,2,1,7383343
1006,1,36,4195929
2413,4,14,13318214
2293,3,26,11941814
764,2,0,4509926
1683,3,11,9311943
669,1,16,3456694
3102,5,17,16764793
3684,5,29,19251039
2387,3,19,12812491
4865,8,25,26520879
1438,1,32,7032130
3665,6,38,19476635
2915,4,6,15963139
1122,1,17,5816112
3263,5,16,17875591
3047,3,9,16376821
2568,2,38,12677327
3218,5,8,17949920
808,2,31,3621563
2725,4,25,14307135
889,2,36,3781940
3411,6,14,18956856
4979,8,30,27055305
3536,6,19,18915443
2083,3,6,11405249
1648,3,16,9110013
2099,4,21,11451024
1331,1,22,6315376
3115,4,21,16437737
2734,5,18,14863088
1564,2,3,8748013
1183,1,12,6136388
1581,3,24,8316775
3044,4,3,16376902
1725,1,21,8589068
4348,5,20,23460032
2077,2,31,10259187
2048,3,40,9770431
638,1,17,2847153
1981,4,10,10994558
1321,1,39,5973979
4117,6,27,22018990
3740,4,2,20427711
2233,4,23,11416360
3239,5,12,17201586
633,1,15,2898856
3420,5,8,18351697
3742,6,37,19589384
1968,2,2,10526287
2982,4,33,15621739
4893,7,27,26493741
1696,2,31,8305901
2143,2,25,10453653
2471,2,8,12870649
779,2,32,3307993
1608,2,2,8735017
2695,5,39,13594947
992,2,6,5703715
761,1,7,4004220
4239,6,7,23326667
2670,4,9,14309477
676,1,26,3249005
1427,3,33,6973491
1723,2,6,9356035
1564,2,7,8074225
4677,6,38,24309852
2754,5,12,15036108
3956,6,10,21232519
4666,6,30,24629863
2521,2,0,13853458
1329,1,36,6352320
4647,6,5,25470961
1214,2,6,6441122
2493,3,18,12960555
4403,5,6,23598788
923,1,23,4639241
3161,4,7,16806813
975,1,8,5345578
1996,3,22,10438176
2797,5,5,15485122
3407,4,7,18406645
3878,5,17,20760052
4517,6,10,24226948
1685,3,3,9099138
1449,2,37,6970921
4189,5,39,21710997
3537,6,1,20000112
1670,2,31,7912423
3969,6,2,21565212
2743,5,20,14376560
4899,8,36,26513731
2434,4,21,13051115
4885,8,39,25691868
4145,7,15,22749339
3432,6,24,18202275
1047,1,10,5494526
4444,6,10,23807301
4627,7,15,25097368
2878,3,32,14499124
3701,5,15,19577859
4360,6,36,22981865
1321,2,28,6400614
1572,2,1,8292029
3904,6,2,21744994
601,1,38,2454337
3095,5,35,15960899
4337,6,23,22839311
2426,3,21,12832560
4475,7,23,24470689
4307,5,6,23712604
2416,2,21,12345590
2991,5,33,15655252
1470,1,10,7680342
1750,3,26,8692157
2683,5,12,14488253
1589,2,13,8392047
2161,4,21,11200200
3995,5,40,20978791
1609,2,29,8227241
4730,6,31,24590548
4944,8,3,27558899
4145,7,30,22327025
2051,4,37,10217285
1651,1,24,8374661
3236,5,24,17246201
2633,4,25,13781113
3009,4,8,16031692
3981,7,32,21194633
3171,5,35,16802511
2380,2,13,12680487
2980,5,22,16241034
1686,3,11,9225570
3240,5,7,18135730
3485,6,30,18753116
4019,7,34,21318617
4060,5,33,20933642
807,1,9,3802042
1063,1,17,5624226
1918,2,16,9687141
1108,2,18,5475510
864,1,28,3580258
2437,4,35,12510177
2546,4,18,13905796
984,1,24,4653601
3161,5,3,17060795
2658,3,39,13376186
2447,4,23,13306187
2209,4,12,11915267
4276,5,4,23011259
2023,4,32,10164751
3690,4,27,19150670
2764,3,10,14945153
2689,3,21,14101783
1868,1,9,9601902
1016,2,39,4847242
3067,4,36,15925284
3533,4,20,18802516
2401,2,33,11606688
4738,6,26,25347060
4999,7,5,27351175
2412,2,21,12299548
3555,5,13,19585216
4945,7,35,26592669
672,1,22,3121715
2568,4,39,13314903
2597,2,20,13344298
1528,2,16,8072079
2916,3,33,14826372
4813,8,28,26058051
959,1,12,4782672
4809,6,6,25922326
4968,6,40,25622252
2326,4,40,11598730
4075,5,13,22063876
4165,7,4,23461171
1859,1,29,9368490
3317,4,5,17655206
1044,1,16,5353993
1177,2,14,6011612
3939,6,28,21223630
3913,6,20,20685311
3790,6,7,20978814
648,1,39,2085909
972,2,4,5349475
4719,6,18,25637995
3068,5,5,16798792
4185,6,25,22624818
852,1,10,4509781
2401,2,25,12347433
3016,5,9,16425734
3656,4,35,19023232
1758,1,2,8906874
3828,6,35,19864861
3096,3,22,15921222
3980,7,32,21025375
1918,1,14,10020450
2670,3,7,14124167
1045,2,29,5279990
1199,1,4,6197665
1404,1,37,6521656
3310,5,8,18375904
2521,2,18,13258809
1171,1,20,5818662
4291,6,39,22754654
3104,5,37,15890597
3585,5,27,18708831
639,1,15,2925086
4172,6,23,22065229
3316,5,29,17540191
3538,5,31,18746069
1491,1,38,6519155
2898,3,34,14515573
2756,5,40,13911376
1217,1,32,5850708
855,2,37,3800814
2342,2,35,11441676
4467,7,9,24481988
3815,4,37,19976844
2983,3,29,15427065
4781,6,25,25412740
4713,6,15,25621463
1958,4,8,10889496
1904,1,36,9234097
1797,3,30,9080624
931,1,31,3974207
1114,1,23,5168186
950,2,13,5133042
3559,5,30,18783528
